Module,Dependency Depth
__main__,18
requests.help,17
requests,16
requests.api,15
requests.sessions,14
requests.adapters,13
requests.models,12
requests.auth,11
requests.utils,10
requests.cookies,9
requests.status_codes,9
requests.packages,8
requests._internal_utils,8
requests.exceptions,8
requests.structures,8
requests.compat,7
urllib3.contrib.pyopenssl,7
urllib3.contrib.socks,6
urllib3,6
urllib3.poolmanager,5
urllib3.util,4
urllib3.util.ssl_,3
urllib3.exceptions,2
cryptography,1
urllib3.filepost,1
urllib3.util.retry,1
requests.certs,1
urllib3.contrib,0
urllib3.fields,0
certifi,0
requests.__version__,0
idna,0
requests.hooks,0
charset_normalizer,0
