Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
springboot-shiro2,cn.abel.rest.config,RedisConfig,27.0,26.0,7.0,2.0,0.8701298701298701,0.25
springboot-shiro2,cn.abel.rest.controller,LoginController,3.0,3.0,3.0,3.0,1.25,1.0
springboot-shiro2,cn.abel.rest,ShiroRestApplication,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.shiro,ShiroRedisCacheManager,15.0,0.0,3.0,3.0,0.7407407407407407,0.2
springboot-shiro2,cn.abel.rest.shiro,ShiroRedisCache,8.0,0.0,2.0,1.0,0.5,0.0
springboot-shiro2,cn.abel.rest.shiro,ShiroUser,44.0,22.0,2.0,2.0,0.8363636363636363,0.16666666666666666
springboot-shiro2,cn.abel.rest.shiro,RedisSessionDao,10.0,0.0,5.0,1.0,1.0,0.0
springboot-shiro2,cn.abel.rest.shiro,HttpHeaderSessionManager,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.shiro,ShiroRealm,28.0,0.0,9.0,4.0,1.1428571428571428,0.375
springboot-shiro2,cn.abel.rest.shiro,UuidSessionIdGenerator,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.shiro,ShiroConfig,120.0,0.0,16.0,7.0,1.0,0.4375
springboot-shiro2,cn.abel.rest.shiro,ShiroProperty,24.0,20.0,4.0,4.0,0.8571428571428571,0.5
springboot-shiro2,cn.abel.rest.shiro.ext,QuartzSessionValidationJob,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.shiro.ext,QuartzSessionValidationScheduler,26.0,16.0,2.0,2.0,0.8888888888888888,0.2222222222222222
springboot-shiro2,cn.abel.rest.shiro.filter,ShiroLogoutFilter,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.shiro.filter,ShiroFormAuthenticationFilter,15.0,0.0,6.0,3.0,1.0,0.5
springboot-shiro2,cn.abel.rest.shiro.credentials,PasswordHelper,3.0,0.0,3.0,3.0,0.5,0.0
springboot-shiro2,cn.abel.rest.shiro.credentials,RetryLimitHashedCredentialsMatcher,0.0,0.0,2.0,2.0,1.25,0.0
springboot-shiro2,cn.abel.rest.shiro.credentials,ThirdPartySupportedToken,77.0,63.0,5.0,3.0,0.8615384615384615,0.21428571428571427
springboot-shiro2,cn.abel.rest.freemarker,FreeMarkerConfig,0.0,0.0,2.0,2.0,0.0,0.0
springboot-shiro2,cn.abel.rest.freemarker,CustomFreeMarkerView,0.0,0.0,1.0,1.0,0.0,0.0
springboot-shiro2,cn.abel.rest.exception,DefaultErrorController,3.0,0.0,3.0,3.0,0.0,1.0
springboot-shiro2,cn.abel.rest.exception,DefaultExceptionHandler,15.0,0.0,6.0,6.0,0.7,0.3333333333333333
springboot-shiro2,cn.abel.rest.constants,Constants,0.0,0.0,4.0,4.0,0.0,-1.0
springboot-shiro2,cn.abel.rest.utils,ServletKit,1.0,0.0,2.0,2.0,0.0,1.0
springboot-shiro2,cn.abel.rest.utils,SpringContextKit,36.0,0.0,9.0,9.0,-0.0,0.0
